3969001
2
4 2 0.4 0.02
5 0 0.4 0.02
0 58 0.5 2587199 2594504
1 65 0.63 2590874 2596341
0 44 0.5 2594549 2601854
0 56 0.5 2594549 2601854
1 66 0.63 2596387 2601854
0 77 0.5 2579849 2623904
0 46 0.5 2601899 2623904
0 58 0.5 2601899 2623904
1 68 0.63 2601899 2623904
0 46 0.5 2623949 2631254
0 58 0.5 2623949 2631254
0 75 0.5 2623949 2634929
1 66 0.63 2623949 2634929
0 46 0.5 2631299 2638604
0 58 0.5 2631299 2638604
0 73 0.5 2634974 2645954
0 46 0.5 2638649 2645954
0 58 0.5 2638649 2645954
1 65 0.63 2634974 2645954
1 46 0.5 2638649 2645954
0 72 0.5 2645999 2656979
0 72 0.5 2657024 2662491
0 74 0.5 2662537 2668004
0 48 0.63 2645999 2668004
0 60 0.5 2645999 2668004
1 64 0.63 2645999 2668004
0 48 0.5 2668049 2675354
0 60 0.5 2668049 2675354
1 64 0.63 2668049 2679029
0 48 0.5 2675399 2682704
0 60 0.5 2675399 2682704
1 64 0.63 2679074 2684541
0 47 0.5 2682749 2690054
0 59 0.5 2682749 2690054
1 65 0.63 2684587 2690054
1 67 0.63 2690099 2701079
1 67 0.63 2701124 2706591
0 76 0.5 2668049 2712104
0 48 0.5 2690099 2712104
0 60 0.5 2690099 2712104
1 69 0.63 2706637 2712104
0 48 0.5 2712149 2719454
0 60 0.5 2712149 2719454
1 70 0.63 2712149 2723129
0 48 0.5 2719499 2726804
0 60 0.5 2719499 2726804
0 79 0.5 2712149 2734154
0 48 0.5 2726849 2734154
0 60 0.5 2726849 2734154
1 72 0.63 2723174 2734154
1 48 0.5 2726849 2734154
0 77 0.5 2734199 2745179
1 69 0.63 2734199 2745179
0 65 0.5 2745224 2750691
1 57 0.63 2745224 2750691
0 65 0.5 2750737 2756204
0 41 0.63 2734199 2756204
0 53 0.5 2734199 2756204
1 57 0.63 2750737 2756204
0 65 0.5 2756249 2767229
1 57 0.63 2756249 2767229
0 65 0.5 2767274 2772741
1 57 0.63 2767274 2772741
0 65 0.5 2772787 2778254
0 41 0.5 2756249 2778254
0 53 0.5 2756249 2778254
1 57 0.63 2772787 2778254
0 65 0.5 2778299 2789279
1 57 0.63 2778299 2789279
0 65 0.5 2789324 2794791
1 57 0.63 2789324 2794791
0 65 0.5 2794837 2800304
0 41 0.5 2778299 2800304
0 53 0.5 2778299 2800304
1 57 0.63 2794837 2800304
0 65 0.5 2800349 2811329
0 43 0.5 2800349 2811329
0 55 0.5 2800349 2811329
1 57 0.63 2800349 2811329
0 65 0.5 2811374 2822354
0 45 0.5 2811374 2822354
0 57 0.63 2811374 2822354
1 57 0.63 2811374 2822354
1 41 0.5 2778299 2822354
0 70 0.5 2822399 2844404
0 46 0.63 2822399 2844404
0 58 0.5 2822399 2844404
1 62 0.63 2822399 2844404
0 46 0.5 2844449 2851754
0 58 0.5 2844449 2851754
1 62 0.63 2844449 2851754
0 46 0.5 2851799 2859104
0 58 0.5 2851799 2859104
1 62 0.63 2851799 2859104
0 44 0.5 2859149 2866454
0 56 0.5 2859149 2866454
1 60 0.63 2859149 2866454
0 65 0.5 2844449 2882991
1 62 0.63 2866499 2882991
0 70 0.5 2883037 2888504
